Term,Frequency
pulmonary_fibrosis,15
respiratory_distress_syndrome,15
coughs,14
lung_abnormalities,14
lung_damage,14
mers_cov,14
pulmonary,14
acute_respiratory,13
autoimmunes,13
coronaviruss,13
cov_2_infected,13
hemoptysis,13
human_coronavirus_infections,13
ibd,13
kidney_injury,13
liver_damage,13
mental_illness,13
mers_cov_infection,13
middle_east_respiratory_syndrome_coronavirus_infection,13
multiple_organ_dysfunction_syndrome,13
viremia,13
2019_novel_coronavirus_,12
bronchitis,12
cerebrovascular,12
coagulation_dysfunction,12
dysgeusia,12
heart_injury,12
hyposmia,12
mortalities,12
multiple_sclerosis,12
organ_dysfunction,12
pneumothorax,12
ageusia,11
corona_virus_19,11
epilepsy,11
head_and_neck_cancer,11
hemorrhage,11
ischemic_stroke,11
kidney,11
muscle_pain,11
neurological_symptoms,11
parkinson's,11
pneumonitis,11
ptsd,11
pulmonary_edema,11
pulmonary_inflammation,11
qt_prolongation,11
respiratory_syndrome_coronavirus_infection,11
rheumatic,11
sars_cov_infected,11
sle,11
systemic_lupus_erythematosus,11
thrombotic,11
virus_infected,11
weakness,11
acute_lung_injury,10
alzheimer's,10
arrhythmias,10
bacterial_infection,10
chronic_liver,10
coinfection,10
encephalitis,10
lung_lesions,10
lungs,10
melanoma,10
neonatal_asphyxia,10
sars_cov_2,10
sars_pneumonia,10
tachycardia,10
thromboembolic,10
2019,9
2019_novel_coronavirus_infections,9
2019_novel_coronavirus_pneumonia,9
acute_coronary_syndrome,9
alveolar_damage,9
autoimmune,9
bacterial_infections,9
cardiomyopathy,9
congestive_heart_failure,9
coronary_artery,9
coronavirus_2019_pneumonia,9
covid__19,9
covid_19_infected,9
crohn's,9
ebola_virus,9
emphysema,9
inability,9
metabolic_acidosis,9
pleural_effusions,9
pneumonias,9
respiratory_insufficiency,9
traumatic_stress,9
vte,9
2019_ncov_acute_respiratory,8
2019_ncov_lung_injury,8
abnormal_coagulation,8
acute_respiratory_distress,8
arthralgia,8
cardiovascular_complications,8
co_infections,8
cov_2_infections,8
cross_infections,8
depressive_symptoms,8
hepatitis,8
hiv_infection,8
hyperglycemia,8
immunodeficiency,8
leukocytosis,8
liver_dysfunction,8
lung_inflammation,8
middle_east_respiratory_syndrome_coronavirus,8
muscle_ache,8
obese,8
obstruction,8
pharyngalgia,8
pneumoperitoneum,8
posttraumatic_stress_disorder,8
prostate_cancer,8
pulmonary_infection,8
rash,8
sars_cov_infections,8
severe_acute_respiratory_syndrome_coronavirus_2_infection,8
upper_respiratory_symptoms,8
acute_respiratory_infections,7
bronchiolitis,7
cardiovascular_system,7
coronavirus_2019_ncov_pneumonia,7
coronavirus_infected,7
coronavirus_of_2019,7
cvd,7
encephalopathy,7
hd,7
hepatitis_b,7
leucopenia,7
liver_impairment,7
lung_infection,7
malignant_tumor,7
mers_cov_infections,7
multiorgan_failure,7
myocardial_damage,7
necrosis,7
psychiatric_disorders,7
renal,7
respiratory_infectious,7
respiratory_infectiouss,7
severe,7
vicarious_traumatization,7
zoonoses,7
acute_lung_failure,6
analgesia,6
anemia,6
anosmia_and_ageusia,6
anxieties,6
arthritis,6
atopic_dermatitis,6
bronchopneumonia,6
cardiac,6
cardiac_arrhythmias,6
chronic_lung,6
cirrhosis,6
corona_virus_infection,6
critically,6
cytotoxicity,6
deep_vein_thrombosis,6
dementia,6
erythema,6
fractures,6
headaches,6
high_fever,6
his,6
hypercoagulability,6
hypersensitive,6
hypogeusia,6
illness,6
inflammatory_bowels,6
kidneys,6
livers,6
lung_failure,6
lupus,6
malaise,6
malnutrition,6
metastases,6
multi_organ_dysfunction,6
multiorgan_dysfunction,6
neonatal_infection,6
neutropenia,6
olfactory_dysfunction,6
paralysis,6
proteinuria,6
psychiatric_symptoms,6
qtc_prolongation,6
renal_failure,6
respiratory_complications,6
schizophrenia,6
sleep_disturbances,6
tachypnea,6
tumour,6
tumour_necrosis,6
ulcerative_colitis,6
weight_loss,6
wuhan_coronavirus_pneumonia,6
zoonotic_infections,6
2019_novel_coronavirus_infected,5
acute_renal_failure,5
ad,5
adult_respiratory_distress_syndrome,5
anxiety_disorders,5
arrest,5
ataxia,5
breath,5
carcinoma,5
cardiac_dysfunction,5
cardiogenic_shock,5
cerebrovasculars,5
cognitive_impairment,5
cold_symptoms,5
coronary_syndrome,5
coronavirus_disease_2019,5
coronavirus_infectious,5
coronavirus_infectious_19,5
cov_infections,5
covid_19_infection,5
covid_infection,5
covid_pneumonia,5
cystic_fibrosis,5
depressive,5
dm,5
fitness,5
flushing,5
fragile,5
hearts,5
hematuria,5
hepatocellular_carcinoma,5
hypersensitivity,5
impaired_consciousness,5
infarction,5
intestinal_obstruction,5
intravascular_coagulation,5
ischemic_heart,5
kidney_failure,5
leukemia,5
liver_function_damage,5
macrophage_activation_syndrome,5
middle_eastern_respiratory_syndrome,5
migraine,5
mouth,5
muscle_soreness,5
ncip_,5
panic,5
posttraumatic_stress,5
psychosis,5
pulmonary_complications,5
pulmonary_symptoms,5
pulmonarys,5
respiratory_tract,5
rhinitis,5
seizures,5
skin_damage,5
stress_disorder,5
type_2_diabetes,5
upper_respiratory_infection,5
weight_gain,5
2019_ncov_infected_pneumonia,4
abnormal_liver_function,4
acute,4
acute_myocardial_injury,4
agitation,4
bacterial_pneumonia,4
breathlessness,4
chronic_illness,4
coagulation_abnormalities,4
coagulation_disorders,4
coronavirus_2_infection,4
coronavirus_illness,4
coronavirus_infected_pneumonia,4
coronavirus_infectious_2019,4
cov_infected,4
deficiency,4
dehydration,4
diarrhoea_syndrome,4
elevator,4
eruptions,4
fracture,4
gastrointestinal_bleeding,4
glaucoma,4
gliomas,4
graft_versus_host,4
hepatoma,4
hidradenitis_suppurativa,4
hiv_infected,4
hyper_inflammation,4
hypercapnia,4
hypertriglyceridemia,4
hypoalbuminemia,4
hypoxic_respiratory_failure,4
ill,4
infectious_preparedness,4
inflammatorys,4
injury,4
insufficiency,4
irritability,4
ischemia,4
johnson,4
low_fever,4
lung_dysfunction,4
lupus_nephritis,4
malignant_tumors,4
mers_coronavirus_infection,4
metabolic_disorders,4
metabolic_syndrome,4
mj,4
multiple_myeloma,4
multiple_organ_dysfunction,4
muscle_aches,4
myalgias,4
ncov_2019,4
neurologicals,4
neutrophilia,4
non_pneumonia,4
obsessive_compulsive_disorder,4
openness,4
orcid_ids,4
pancreatic_cancer,4
pancreatitis,4
paranoia,4
pharyngitis,4
pleural,4
pneumococcal,4
psychosocial_stress,4
psychotic_symptoms,4
pulmonary_infiltrates,4
pulmonary_thromboembolism,4
renal_dysfunction,4
respiratory_injury,4
respiratory_syndrome_coronavirus_2_infection,4
respiratory_syndrome_coronavirus_entry,4
respiratory_syndrome_coronavirus_infections,4
sclerosis,4
seizure,4
sic,4
skin_rash,4
skins,4
spinal_cord_injury,4
stress_cardiomyopathy,4
stresses,4
sudden_death,4
syndromic,4
thrombosis_and_haemostasis,4
tumor_necrosis,4
upper_respiratory_infections,4
upper_respiratory_tract_infections,4
vasculitis,4
viral_hepatitis,4
zoonotic_coronavirus,4
zoonotics,4
_deficiency,3
2019_corona_virus,3
abbott_id,3
acute_liver_failure,3
acute_respiratory_infection,3
adrenal_insufficiency,3
agile_and_aggressive,3
airway_obstruction,3
allergic_reactions,3
anxiety_disorder,3
appendicitis,3
asphyxia,3
atherosclerosis,3
atrial_fibrillation,3
bacterial_co_infection,3
cardiac_damage,3
cardiac_toxicity,3
cardiovascular_and_cerebrovascular,3
cardiovascular_and_cerebrovasculars,3
cardiovascular_conditions,3
cardiovascular_damage,3
cardiovascular_disorders,3
cardiovascular_injury,3
cerebral_infarction,3
cholera,3
chronic_hepatitis_c,3
chronic_pain,3
ckd,3
cognitive_decline,3
colon_cancer,3
constipation,3
corneal,3
coronavirus_covid_19,3
coronavirus_tropism,3
coronaviruss_2019,3
cov,3
cov_19_infection,3
covid_19_infected_pneumonia,3
covid_2019_infection,3
covid19_infection,3
cv,3
cytomegalovirus_infection,3
dengue_fever,3
dermatitis,3
di,3
diabetic_nephropathy,3
dry_coughing,3
dysbiosis,3
dysphagia,3
elevated_inflammation,3
elevators,3
embryonic_kidney,3
end_stage_renal,3
endocrines,3
failure,3
fevers,3
fibromyalgia,3
fulminant_myocarditis,3
fungal_infection,3
fungal_infections,3
g6pd_deficiency,3
g6pd_deficient,3
gastroenteritis,3
hemorrhagic,3
hepatic_injury,3
hepatitis_c_virus_infection,3
hepatotoxicity,3
hernia,3
hiv_1,3
hiv_1_infected,3
hyperlipidemia,3
hypoglycemia,3
immunodeficiency_syndrome,3
immunodeficiency_virus_,3
immunodeficiency_virus_1_,3
infected_pneumonia,3
infective,3
infertility,3
injuries,3
interstitial_pneumonia,3
intestinal_infections,3
loss_of_appetite,3
lung_adenocarcinoma,3
lung_disorders,3
lung_fibrosis,3
meningitis,3
mental_disorder,3
mers_cov_infected,3
mg,3
mood_disorders,3
mortal,3
multiple_organ_damage,3
myeloma,3
myocardial_infarctions,3
neck_cancers,3
neurodegenerative_disorders,3
neurodegeneratives,3
neurologics,3
neuronal_death,3
nipah_virus_infection,3
nosocomial_cross_infection,3
novel_infection,3
nsclc,3
opportunistic_infections,3
orcid_id,3
osteoporosis,3
ovarian_cancer,3
overdose,3
paralyzed,3
pd,3
pericardial_effusion,3
periodontitis,3
polyps,3
pressured,3
pressures,3
pulmonary_damage,3
pulmonary_failure,3
pulmonary_hypertension,3
pulmonary_infections,3
pulmonary_involvement,3
pulpitis,3
ra,3
renal_insufficiency,3
respiratory_stress,3
respiratory_syncytial_virus_infection,3
respiratory_syndrome_coronavirus_infected,3
respiratory_syndromes,3
respiratory_tract_illness,3
respiratory_tract_symptoms,3
retinopathy,3
rhabdomyolysis,3
sar,3
sarcopenia,3
sars_cov,3
sars_cov_2_infected_pneumonia,3
sars_covid_19,3
sepsis_induced_coagulopathy,3
shortness,3
sickle_cell,3
sleep_disorders,3
smd,3
squamous_cell_carcinoma,3
stress_disorders,3
sudden_cardiac_death,3
syncope,3
taste_disorders,3
tdp,3
tightness,3
torsade_de_pointes,3
torsades_de_pointes,3
traumatic_stress_disorders,3
tumours,3
ulcers,3
upper_respiratory_tract_illness,3
urticaria,3
venous_thromboembolic,3
ventricular_arrhythmias,3
ventricular_dysfunction,3
viral_infectiouss,3
wilson,3
_acute_cerebrovascular,2
_and_sars_coronavirus_2003,2
_coronavirus,2
_coronavirus_disease_covid_19,2
_hepatic_and_kidney_injury,2
_mouth,2
_smell_impairment,2
_vision_impairment,2
2019_coronavirus_infection,2
2019_cov_infection,2
2019_ncov_spike,2
2019_new_coronavirus_infection,2
2019_novel_corona_virus,2
a_infections,2
abnormalities_of_liver_function,2
abuse,2
acidosis,2
acro_ischemia,2
acute_aortic_syndrome,2
acute_chest_syndrome,2
acute_conjunctivitis,2
acute_graft_versus_host,2
acute_heart_failure,2
acute_infection,2
acute_infectious_pneumonia,2
acute_leukemia,2
acute_liver_injury,2
acute_myocarditis,2
acute_pancreatitis,2
acute_renal_injury,2
acute_respiratory_failure,2
adenocarcinoma,2
adrenal_tumors,2
af,2
aggressive_cancers,2
agranulocytosis,2
ah,2
albuminuria,2
alcoholic_fatty_liver,2
allergic_rhinitis,2
allergies,2
alzheimer,2
anomaly,2
anosmia_and_dysgeusia,2
antibody_dependent_infection,2
anxiety_of_falling_sick,2
apc,2
ari,2
aris,2
arrythmia,2
autism,2
autoimmune_rheumatics,2
autoimmunity,2
benign,2
benign_tumor,2
bladder_cancer,2
blood_coagulation,2
blood_loss,2
body_aches,2
bowels,2
brain_tumor,2
brugada_syndrome,2
california,2
carcinoma_of_tonsil,2
cardiac_arrests,2
cardiac_complications,2
cardiac_death,2
cardiac_injuries,2
cardiac_insufficiency,2
cardiac_involvement,2
cardiopulmonary_failure,2
cardiorespiratory_fitness,2
cardiovascular_,2
cardiovascular_and_cancer,2
cardiovascular_metabolics,2
catastrophic_antiphospholipid_syndrome,2
cerebral_edema,2
cerebral_hemorrhage,2
charcot_marie_tooth,2
chemosensitive_disorders,2
chest,2
chm,2
chorionic_hemangioma,2
chronic_renal,2
circulatory_failure,2
civid_19,2
cluster_infection,2
coagulation,2
colon,2
colorectal,2
colorectal_cancers,2
colorectal_tumor,2
conjunctival_hyperemia,2
convulsions,2
corona,2
coronary_pneumonia,2
coronary_spasm,2
coronavirus_death,2
coronavirus_disease_2019_covid_19,2
coronavirus_virulence,2
coronovirus_2019,2
cough_fever,2
cov_2_pneumonia,2
covid_19_coronavirus_infection,2
covid_19_deaths,2
covid_19_infections,2
covid_19_peritraumatic_distress,2
covid_2019_pneumonia,2
covid_9,2
covid_era,2
covid_infected,2
covid_units,2
covs,2
covs_infections,2
crc,2
critical,2
critically_ill_pneumonia,2
critically_unwell,2
crs,2
cytotoxic_t,2
deadly,2
decreased_white_blood_cell,2
deep_venous_thrombosis,2
depressed,2
depression_symptoms,2
diabetics,2
dies,2
drug_toxicity,2
dry_gangrene,2
eating_disorders,2
ebola_virus_infections,2
edematous,2
emotional_disorders,2
encephalomyelitis,2
endocrine_disorders,2
endothelial_dysfunction,2
epileptic_seizures,2
epiphora,2
error,2
evd,2
eye_redness,2
fatigued,2
febrile_illness,2
fever_endocarditis,2
financial_toxicity,2
g6pd,2
gastric_cancer,2
gastrointestinal_disorders,2
gastrointestinal_infection,2
gastrointestinal_toxicity,2
gisaid_accession_id,2
glioma,2
glucose_6_phosphate_dehydrogenase_,2
gps,2
granulomatosis_with_polyangiitis,2
gs,2
gvhd,2
haemophilia,2
hbv_infection,2
hcov_infected,2
hcov_infection,2
hearing_loss,2
heart_damage,2
heart_teams,2
hematochezia,2
hemophagocytic_lymphohistiocytosis,2
hemophilia,2
hemorrhagic_fever,2
hiv_human_immunodeficiency_virus,2
hiv_infections,2
hydronephrosis,2
hyperplasia,2
hypocalcemia,2
hypoproteinemia,2
hypotensive,2
hypothyroidism,2
ild,2
immune_deficiency,2
immunodeficiencys,2
immunopathological_damage,2
impulsive_behavior,2
infantile_diarrhea,2
infection_mortality,2
infection_pneumonia,2
infectious_disease,2
infectious_disorders,2
infectious_symptoms,2
infectious_syndrome,2
inflammatory_disorders,2
inflammatory_skin,2
insomnia_symptoms,2
interstitial_pneumonitis,2
invasive_pulmonary_aspergillosis,2
ischaemic_stroke,2
ischemic_cardiomyopathy,2
ivf,2
job_loss,2
joint_pain,2
joseph,2
ketosis,2
kidney_damage,2
kidney_impairment,2
lethargy,2
leukocytopenia,2
liver_failure,2
liver_injuries,2
liver_steatosis,2
long_qt_syndrome,2
loss_of_consciousness,2
lung_abnormality,2
lung_parenchymal_abnormalities,2
lupus_erythematosus,2
lymphoma,2
malignant,2
malignant_tumour,2
malignants,2
mds,2
mediastinal_emphysema,2
mediastinal_lymphadenopathy,2
meningococcal,2
meningoencephalitis,2
mental_distress,2
mental_fatigue,2
mentals,2
mers_coronavirus_infections,2
mers_infection,2
mesothelioma,2
microcephaly,2
microvascular_dysfunction,2
microvascular_injury,2
middle_east_respiratory_syndrome_coronavirus_infections,2
mortally,2
multidisciplinary_tumor,2
multiorgan_dysfunction_syndrome,2
multiorgan_system_failure,2
multiple_organ_dysfunction_syndromes,2
muscle_invasive_bladder_cancer,2
muscle_weakness,2
myasthenia_gravis,2
myocardia_injury,2
myocardial_dysfunction,2
myocardial_inflammation,2
neonatal_acute_respiratory_distress_syndrome,2
neonatal_death,2
nephropathic,2
nephropathy,2
nerve_pain,2
nervous_system_infections,2
neurologic,2
neurologic_symptoms,2
neurological,2
neurological_damage,2
neurological_deficits,2
neuromuscular_disorders,2
new_coronavirus_2019,2
non_small_cell_lung_cancer,2
novel_corona_virus,2
novel_coronavirus_2019_,2
novel_coronavirus_infected,2
numbness,2
ob,2
obstructive_colorectal_cancer,2
obstructive_sleep_apnea,2
occupational,2
ocd,2
ocular_symptoms,2
ocular_tropism_of_respiratory_viruses,2
oklahoma,2
ophthalmoparesis,2
oral_cancer,2
orals,2
organ_dysfunction_or_failure,2
organ_function_failure,2
otitis,2
ovarian_torsion,2
pancreatic_injury,2
panic_attacks,2
panic_disorder,2
papillomavirus,2
paraclinical_abnormalities,2
plaque_psoriasis,2
pneumonia_broke,2
pneumonia_covid_19,2
poisoning,2
poliomyelitis,2
pressuring,2
pressurized,2
preterm_labor,2
psoriatic,2
psoriatic_arthritis,2
psychomotor,2
pte,2
ptsd_symptoms,2
pulmonary_embolisms,2
pulmonary_nodules,2
pulmonary_oedema,2
pulmonary_thrombosis,2
pulmonary_tuberculosis,2
pulmonary_vascular_thrombosis,2
pyrexia,2
qpd,2
rabies,2
redness,2
refractory_hypoxemia,2
renal_abnormalities,2
renal_cell_carcinoma,2
renal_excretion,2
renal_impairment,2
respiratory_coronavirus_2019,2
respiratory_coronavirus_infected,2
respiratory_coronavirus_infections,2
respiratory_deterioration,2
respiratory_disorder,2
respiratory_disorders,2
respiratory_dysfunction,2
respiratory_syndrome_coronavirus,2
respiratory_syndrome_coronavirus_,2
respiratory_syndrome_coronavirus_2,2
respiratory_system,2
retinal_detachment,2
retinal_toxicity,2
rheumatologicals,2
rickettsia,2
rigid,2
sarcoidosis,2
sarcoma,2
sarcomas,2
sars_coronavirus_infected,2
sars_coronavirus_spike,2
sars_epidemic,2
sars_virus_infection,2
severe_illness,2
silent_hypoxemia,2
silent_infection,2
sitrep_49_covid_19,2
skeletal_muscle_injury,2
skin,2
skin_cancer,2
skin_lesions,2
sleep,2
sleep_deprivation,2
sleepiness,2
smell_dysfunction,2
spinal_metastases,2
spinal_muscular_atrophy,2
ssd,2
status_epilepticus,2
still's,2
stillbirth,2
structural_heart,2
substance_abuse,2
sudden_deterioration,2
symptoms_____fever,2
systemic_sclerosis,2
taste_impairment,2
taste_loss,2
testicular_tumors,2
thalassemia,2
thromboembolic_complications,2
thrombophilia,2
thrombotic_complications,2
tiredness,2
tissue_injury,2
toxicities,2
traumatic_injury,2
traumatic_stress_disorder_symptoms,2
tuberculosis_infection,2
type_2_diabetes_mellitus,2
type_ii_pneumocyte_hyperplasia,2
upper_tract_urothelial_carcinoma,2
uremia,2
uveitis,2
van_doremalen_n,2
vascular_dysfunction,2
venous_thrombosis,2
ventricular_tachycardia,2
vertigo,2
villitis_and_chorioamnionitis,2
viral_infected,2
viral_pneumonia,2
virus_coronavirus_2019,2
viruss,2
vision_loss,2
williamson_bn,2
x_linked_agammaglobulinemia,2
zoonotic_illness,2
zoonotic_infection,2
_2019,1
_a,1
_activity,1
_acute_respiratory,1
_acute_respiratory_distress_syndrome,1
_algorithms,1
_and_hepatitis_c_virus,1
_and_sars_coronavirus,1
_becker,1
_boonyasiri_a,1
_corona_virus,1
_cov_2,1
_disorders,1
_g6pd_deficiency,1
_hepatitis_c_virus,1
_hyperglycaemia_and_dehydration,1
_hypoxaemia_or_shock,1
_infected_pneumonia_infection,1
_integrase,1
_liver,1
_lupus_erythematosus,1
_mers_middle_east_respiratory_syndrome,1
_nausea,1
_neurologic_deficits,1
_obstructive_sleep_apnea,1
_or_impella_implantation,1
_or_ovarian_cancer,1
_ovarian_cancer,1
_prolongation,1
_proteins,1
_psoriasis,1
_syndromes,1
_the,1
_the_infection,1
_tumors,1
0,1
000__immunodeficiency,1
"000_68,000_infections",1
"000,000_human_infections",1
001_diabetes,1
2_coronavirus_2019,1
2019_and_infection,1
2019_coronavirus_structure,1
2019_impacts,1
2019_infection,1
2019_ncov_,1
2019_ncov_also_infected,1
2019_ncov_and_sars_coronavirus,1
2019_ncov_and_sars_cov,1
2019_ncov_and_sars_cov_spike,1
2019_ncov_coronavirus_syndrome,1
2019_ncov_encoded_proteins,1
2019_ncov_human_infections,1
2019_ncov_illness,1
2019_ncov_infectious,1
2019_ncov_pneumonia_infection,1
2019_ncov_pneumonitis,1
2019_ncov_related_pneumonia,1
2019_ncov_sars_cov_peptides,1
2019_ncov's_infection,1
2019_ncova_,1
2019_ncovs,1
2019_new_coronavirus,1
2019_new_coronavirus_pneumonia,1
2019_novel_corona_virus_infection,1
2019_novel_coronavirus__infected_pneumonia,1
2019_novel_coronavirus_19,1
2019_novel_coronavirus_death,1
2019_novelcoronavirus,1
2019_sarss,1
2019_the_coronavirus,1
2019_unexplained_pneumonia,1
2020,1
3.1,1
49_chronic_obstructive_pulmonary,1
abdominal_anomaly,1
abdominal_aortic_aneuryms,1
abdominal_aortic_aneurysm,1
abdominal_obesity,1
abdominal_symptoms,1
abdominal_trauma,1
abducens_palsy,1
abnormal_blood_coagulation,1
abnormal_chest,1
abnormal_coagulopathy,1
abnormal_glucose,1
abnormal_hematopoiesis,1
abnormal_kidney_function,1
abnormal_liver_enzymes__defer,1
abnormal_lung,1
abnormalities_of_peripheral_blood_system,1
abnormality,1
abruptness,1
abs,1
absence_of_conjunctivitis_signs,1
absence_of_obstructive_coronary_artery,1
absence_of_respiratory_distress,1
absent_tonsils_or_lesions,1
abuse_rise,1
accidental_infection,1
accredited_psychiatric,1
ache,1
aches,1
acidophilic_bodies,1
acne,1
acoustic_hallucinoses,1
acoustic_neuromas,1
acral_eruption,1
acral_lesions,1
acro_ischemic_lesions,1
active_respiratory_infections,1
actual_death,1
actual_infection,1
actual_zoonotic,1
acute_appendicitis,1
acute_bronchitis,1
acute_cerebrovascular,1
acute_cerebrovasculars,1
acute_chagas,1
acute_cholecystitis,1
acute_demyelinating_encephalomyelitis,1
acute_diabetes,1
acute_disseminated_encephalomyelitis,1
acute_eosinophilic_pneumonia,1
acute_facial_injuries,1
acute_fever,1
acute_gastritis,1
acute_hemorrhagic_edema,1
acute_hemorrhagic_necrotizing_encephalopathy,1
acute_hepatic_failure,1
acute_hepatitis,1
acute_hydrocephalus,1
acute_hypoxemia,1
acute_injury,1
acute_kidney_injury_19,1
acute_kidney_injury_due_to_collapsing_glomerulopathy,1
acute_leukemias,1
acute_lung_injuries,1
acute_lung_injury_or_pneumonia,1
acute_lung_ischemia_reperfusion_injury,1
acute_mental_disorders,1
acute_myeloid_leukemia,1
acute_myocardial_infarction,1
acute_myopericarditis,1
acute_necrotizing_encephalopathy,1
acute_olfactory_disorders,1
acute_organ_failure,1
acute_otitis,1
acute_pericarditis,1
acute_pulmonary_embolism,1
acute_pulmonary_heart,1
acute_pulpitis,1
acute_renal_graft_failure,1
acute_respiatory_syndrome,1
acute_respiratory_distress_syndrome_coronavirus_2_infection,1
acute_respiratory_distress_turning,1
acute_respiratory_dyspnea_syndrome,1
acute_respiratory_infection_symptoms,1
acute_respiratory_syndromes,1
acute_respiratorys,1
acute_strokes,1
acutelung_injury,1
acutes,1
address_mental_health_abnormalities,1
adenocarcinoma_of_the_left_lung_also_infected,1
adenocarcinoma_of_the_lung,1
adenoma,1
adenomas,1
adhd,1
adjustment_disorder,1
adrenal_adenomas,1
adrenal_neuroblastoma,1
adrenal_tumor,1
adrenocortical_cancer,1
adrenocortical_carcinoma,1
adult_respiratory_infections,1
adult_schizophrenia,1
advanced_illness,1
advanced_oncologic,1
advanced_ovarian_cancers,1
adverse_atherosclerotic_cardiovascular,1
adverse_drug_reaction,1
adverse_psychological_impacts_and_psychiatric,1
afebrile_acute_abdominal_pain,1
afebrile_illness,1
affgmsrigmevtpsgtw_affgmsrigmevtpsgtw_n,1
agammaglobulinemia,1
ageusia_and_anosmia,1
ageusia_symptoms,1
aggravated_acute_respiratory_distress_syndrome,1
aggressive_hepato_pancreato_biliary_malignancies,1
aggressive_infection,1
aggressive_pulmonary_syndromes,1
aggressive_urologic_cancers,1
aggressively,1
aggressiveness,1
aggressiveness_of_each,1
aggressiveness_of_lung_malignancies,1
aic,1
aids_acquired_immune_deficiency_syndrome,1
aids_denialism,1
airway_abnormalities,1
airway_hyper_responsiveness,1
ais,1
aki,1
alcohol_abuse,1
alcohol_hand_rub,1
alf,1
alfacon_1_plus_corticosteroids,1
allergic,1
allergic_airway_inflammation,1
allergic_and_metabolic,1
allergic_reaction,1
allergics,1
allergy_asthma,1
allergy_asthma_immunology_and_allergywatch,1
allergy_division,1
alp,1
already_catastrophic_opioid_overdose,1
alveolar_haemorrhage,1
